1.63223	0.28762	18.1398	17.7218	17.5625	17.5095
1.8437	0.242671	14.4183	14.1009	13.9124	13.8495
1.22995	0.233058	13.1083	12.1912	11.993	11.9275
1.37468	0.208181	13.222	12.5115	12.2912	12.2179
1.97626	0.286359	12.9268	12.6789	12.5192	12.4659
1.41982	0.157676	17.0735	16.372	16.0817	15.9849
1.34921	0.14387	10.8543	10.0448	9.72654	9.62051
1.25476	0.106042	14.8695	13.8402	13.4086	13.2649
1.85975	0.29667	15.2087	14.9211	14.7668	14.7154
1.5003	0.153243	15.4485	14.8274	14.5288	14.4293
1.30893	0.227335	15.4522	14.6621	14.4597	14.3926
1.79658	0.148857	13.2924	12.8743	12.5671	12.4647
1.87727	0.227495	10.1151	9.8037	9.6026	9.53556
1.53915	0.251174	11.0147	10.5069	10.3245	10.2637
1.52667	0.153305	11.1741	10.578	10.2796	10.1801
1.71661	0.164659	12.8083	12.3666	12.0888	11.9962
1.71548	0.250637	12.0914	11.7122	11.5296	11.4687
1.837	0.213637	19.434	19.0967	18.8825	18.8111
1.88581	0.156252	17.7289	17.3601	17.0675	16.9699
1.30135	0.274899	15.2201	14.442	14.274	14.2184
1.5703	0.242873	12.6521	12.1668	11.9783	11.9155
1.09769	0.262659	18.2506	17.0708	16.8917	16.8332
1.43241	0.235373	11.9701	11.3466	11.1518	11.0869
1.22892	0.299082	19.7117	18.8223	18.6666	18.6153
1.66015	0.168532	14.6126	14.1395	13.868	13.7776
1.16845	0.137513	10.4107	9.28336	8.9496	8.8386
1.57289	0.17575	12.4993	11.9685	11.7082	11.6214
1.16461	0.183406	12.4334	11.3534	11.1021	11.0187
1.34206	0.11461	10.2541	9.38109	8.98194	8.84891
1.60227	0.250338	15.603	15.147	14.9641	14.9032
1.10164	0.179164	18.1308	16.9047	16.6467	16.5613
1.16334	0.175031	11.4274	10.3367	10.0736	9.9863
1.72918	0.12703	16.3487	15.8598	15.4999	15.38
1.84205	0.288751	14.8981	14.6	14.4415	14.3887
1.90377	0.162218	10.8232	10.4686	10.1867	10.0928
1.81141	0.173995	14.8047	14.4232	14.1604	14.0728
1.88311	0.114151	10.881	10.4396	10.0392	9.9058
1.9155	0.283859	12.4252	12.1552	11.994	11.9403
1.37417	0.179186	11.3021	10.5674	10.3117	10.2265
1.6179	0.131624	12.0629	11.5095	11.1622	11.0464
1.91521	0.214475	11.8686	11.5639	11.3506	11.2795
1.65211	0.251183	10.4325	10.0131	9.83087	9.77013
1.51133	0.164955	19.1106	18.5142	18.2368	18.1443
1.11392	0.139032	15.0018	13.756	13.4253	13.3155
1.24135	0.187615	17.8864	16.9578	16.7127	16.6313
1.95295	0.206219	16.4559	16.1591	15.9373	15.8633
1.39499	0.209286	16.2449	15.561	15.3419	15.269
1.53402	0.113615	10.853	10.1947	9.79229	9.65815
1.3655	0.127626	15.1767	14.3625	14.004	13.8845
1.03699	0.148004	12.9722	11.5413	11.2292	11.1259
